root_seed,training_step,continuation_offset,clean_mean,fault_mean,paired_deficit,clean_episode_count,fault_episode_count,clean_capped_episodes,fault_capped_episodes,post_eviction_eligible
1531397161,610000,110000,11.35,11.9,-0.5500000000000007,20,20,0,0,True
1531397161,620000,120000,11.55,12.5,-0.9499999999999993,20,20,0,0,True
1531397161,630000,130000,12.1,12.3,-0.20000000000000107,20,20,0,0,True
1531397161,640000,140000,10.7,11.9,-1.200000000000001,20,20,0,0,True
1531397161,650000,150000,13.95,14.45,-0.5,20,20,0,0,True
1531397161,660000,160000,10.4,12.0,-1.5999999999999996,20,20,0,0,True
1531397161,670000,170000,10.35,12.4,-2.0500000000000007,20,20,0,0,True
1531397161,680000,180000,13.45,14.15,-0.7000000000000011,20,20,0,0,True
1531397161,690000,190000,12.7,10.2,2.5,20,20,0,0,True
1531397161,700000,200000,14.2,15.2,-1.0,20,20,0,0,True
1850709264,500000,0,9.05,9.05,0.0,20,20,0,0,False
1850709264,510000,10000,11.35,11.4,-0.05000000000000071,20,20,0,0,False
1850709264,520000,20000,11.6,13.6,-2.0,20,20,0,0,False
1850709264,530000,30000,13.4,16.5,-3.0999999999999996,20,20,0,0,False
1850709264,540000,40000,10.25,10.15,0.09999999999999964,20,20,0,0,False
1850709264,550000,50000,13.3,12.9,0.40000000000000036,20,20,0,0,False
1850709264,560000,60000,11.0,16.85,-5.850000000000001,20,20,0,0,False
1850709264,570000,70000,10.35,11.35,-1.0,20,20,0,0,False
1850709264,580000,80000,11.7,10.2,1.5,20,20,0,0,False
1850709264,590000,90000,14.8,12.65,2.1500000000000004,20,20,0,0,False
1850709264,600000,100000,14.4,9.7,4.700000000000001,20,20,0,0,True
1850709264,610000,110000,8.55,12.2,-3.6499999999999986,20,20,0,0,True
1850709264,620000,120000,12.2,16.05,-3.8500000000000014,20,20,0,0,True
1850709264,630000,130000,12.7,11.4,1.299999999999999,20,20,0,0,True
1850709264,640000,140000,12.4,13.5,-1.0999999999999996,20,20,0,0,True
1850709264,650000,150000,11.55,12.0,-0.4499999999999993,20,20,0,0,True
1850709264,660000,160000,11.1,15.3,-4.200000000000001,20,20,0,0,True
1850709264,670000,170000,12.65,14.85,-2.1999999999999993,20,20,0,0,True
1850709264,680000,180000,10.8,14.35,-3.549999999999999,20,20,0,0,True
1850709264,690000,190000,10.6,13.2,-2.5999999999999996,20,20,0,0,True
1850709264,700000,200000,14.45,12.8,1.6499999999999986,20,20,0,0,True
497083461,500000,0,9.0,9.0,0.0,20,20,0,0,False
497083461,510000,10000,7.2,12.15,-4.95,20,20,0,0,False
497083461,520000,20000,12.6,9.05,3.549999999999999,20,20,0,0,False
497083461,530000,30000,6.9,7.55,-0.6499999999999995,20,20,0,0,False
497083461,540000,40000,6.4,14.05,-7.65,20,20,0,0,False
497083461,550000,50000,8.35,8.85,-0.5,20,20,0,0,False
497083461,560000,60000,7.5,5.9,1.5999999999999996,20,20,0,0,False
497083461,570000,70000,6.7,9.25,-2.55,20,20,0,0,False
497083461,580000,80000,6.9,7.35,-0.4499999999999993,20,20,0,0,False
497083461,590000,90000,7.15,13.65,-6.5,20,20,0,0,False
497083461,600000,100000,8.7,5.25,3.4499999999999993,20,20,0,0,True
497083461,610000,110000,9.35,6.9,2.4499999999999993,20,20,0,0,True
497083461,620000,120000,12.1,6.75,5.35,20,20,0,0,True
497083461,630000,130000,7.6,11.95,-4.35,20,20,0,0,True
497083461,640000,140000,7.7,10.55,-2.8500000000000005,20,20,0,0,True
497083461,650000,150000,10.7,8.5,2.1999999999999993,20,20,0,0,True
497083461,660000,160000,10.7,10.15,0.5499999999999989,20,20,0,0,True
497083461,670000,170000,11.85,9.85,2.0,20,20,0,0,True
497083461,680000,180000,8.25,7.85,0.40000000000000036,20,20,0,0,True
497083461,690000,190000,6.45,8.5,-2.05,20,20,0,0,True
497083461,700000,200000,9.5,8.65,0.8499999999999996,20,20,0,0,True
