bad_reward,depth,update_rule,event_round,prior_good_traversals,paired_seeds,true_safe_value,true_risky_value,final_lock_probability,final_lock_ci_low,final_lock_ci_high,ever_demoted_probability,ever_demoted_ci_low,ever_demoted_ci_high,mean_first_demotion_delay,mean_post_event_risky_visits,mean_final_start_value,exact_full_return_lock_probability,mc_minus_exact_if_depth_one
-5.0,1,sample_average,0,0,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,20.318,0.7066292072768738,0.9999999999999987,1.3322676295501878e-15
-5.0,1,constant_alpha,0,0,20000,0.9,1.0,0.01325,0.011756180030542095,0.014930767070075755,1.0,0.9998079639438954,0.9999999999999999,0.0,126.15445,0.9983665908430649,0.012990181291984756,0.00025981870801524386
-5.0,1,sample_average,4,4,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,19.556,0.7483477958883676,0.9999999999999428,5.717648576819556e-14
-5.0,1,constant_alpha,4,4,20000,0.9,1.0,0.0204,0.01853095278768133,0.022453248197334224,1.0,0.9998079639438954,0.9999999999999999,0.0,120.18625,0.9973202031445734,0.020104261119779098,0.00029573888022090336
-5.0,1,sample_average,8,8,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,18.7157,0.7786891719231642,0.9999999999977793,2.220668093855238e-12
-5.0,1,constant_alpha,8,8,20000,0.9,1.0,0.03265,0.03027533794131694,0.035204158160324045,1.0,0.9998079639438954,0.9999999999999999,0.0,113.25425,0.995704064653074,0.030331650873927266,0.002318349126072733
-5.0,1,sample_average,12,12,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,17.968,0.8029941031256299,0.9999999999218367,7.816325364728982e-11
-5.0,1,constant_alpha,12,12,20000,0.9,1.0,0.0453,0.04250412912993366,0.04827050845948788,1.0,0.9998079639438954,0.9999999999999999,0.0,106.88865,0.993960022717807,0.0446138126318326,0.0006861873681673972
-5.0,1,sample_average,16,16,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,17.2368,0.8224268798882124,0.9999999975507602,2.449239810964343e-09
-5.0,1,constant_alpha,16,16,20000,0.9,1.0,0.0674,0.06400776792087953,0.07095838167486218,1.0,0.9998079639438954,0.9999999999999999,0.0,99.9959,0.9908354212775852,0.06398093563088697,0.0034190643691130312
